column_name,dtype,non_null_count,null_count
ATT1,int64,1166,0
ATT2,int64,1166,0
ATT3,int64,1166,0
CON1,int64,1166,0
CON2,int64,1166,0
CON3,int64,1166,0
SNO1,int64,1166,0
SNO2,int64,1166,0
SNO3,int64,1166,0
COVID1,int64,1166,0
COVID2,int64,1166,0
COVID3,int64,1166,0
INT1,int64,1166,0
INT2,int64,1166,0
INT3,int64,1166,0
BE1,int64,1166,0
BE2,int64,1166,0
BE3,int64,1166,0
BE4,int64,1166,0
PU1,int64,1166,0
PU2,int64,1166,0
PU3,int64,1166,0
PEU1,int64,1166,0
PEU2,int64,1166,0
PO1,int64,1166,0
PO2,int64,1166,0
PRI1,int64,1166,0
PRI2,int64,1166,0
PRI3,int64,1166,0
gender,int64,1166,0
age,int64,1166,0
Education,int64,1166,0
Occupation,int64,1166,0
income,int64,1166,0
